FINAL Sample NAME,Sequential G3 Sample No.,Biological Replicate No. (if applicable),Technical Replicate No. (if applicable),Negative control,Cruise/ Expedition ID,Cruise/ Expedition ID,Collection Date (UTC),Collection Date (local),Field Sample Name,Dive No./ Station No./ Cast No.,Rosette position,Sampling method,Preservation,Region,Area within region,Additional Description Sampling Location,Depth (m),Altitude (m),"Latitude      (D° M' S"")","Longitude           (D° M' S"")",Latitude & Longitude (D.D°),Start time  (local),End time (local),Start time (UTC),End time (UTC),Sample volume (ml),Temp (°C),pH,Salinity (ppt),Oxygen (µM),Methane (nmol/L),Other chem,Other chem (units X),Personnel Responsible for Collecting Sample,Field Notes,Extracted,Elution Volume (µl),Extraction Yield (ng/µl),Extraction/PCR Notes,WS & BS Sample Location,Sent for Sequencing,Sequencing completed,Sequencing Notes
E1246.OC0922,1246,,,FALSE,OC0922,OCNMS Sept 2022,,8/28/2022,,Port 7,,PPS Unit; Programmed Sampling,95% EtOH,Olympic Coast National Marine Sanctuary,Teahwhit Head,,34.0,8,47°52.467' N,124°44.070 W,,0:00,00:17,,,1000,,,,,,,,Matt Galaska,,TRUE,100,OCNMS_ExtractionSheet,,Lab -20˚C,TRUE,FALSE,At Sequencing Center (R2)
E1247.OC0922,1247,,,FALSE,OC0922,OCNMS Sept 2022,,8/29/2022,,Port 8,,PPS Unit; Programmed Sampling,95% EtOH,Olympic Coast National Marine Sanctuary,Teahwhit Head,,34.0,8,47°52.467' N,124°44.070 W,,12:00,12:17,,,1000,,,,,,,,Matt Galaska,,TRUE,100,OCNMS_ExtractionSheet,,Lab -20˚C,TRUE,FALSE,At Sequencing Center (R2)
E1248.OC0922,1248,,,FALSE,OC0922,OCNMS Sept 2022,,8/31/2022,,Port 9,,PPS Unit; Programmed Sampling,95% EtOH,Olympic Coast National Marine Sanctuary,Teahwhit Head,,34.0,8,47°52.467' N,124°44.070 W,,0:00,00:17,,,1000,,,,,,,,Matt Galaska,,TRUE,100,OCNMS_ExtractionSheet,,Lab -20˚C,TRUE,FALSE,At Sequencing Center (R2)
E1249.OC0922,1249,,,FALSE,OC0922,OCNMS Sept 2022,,9/1/2022,,Port 10,,PPS Unit; Programmed Sampling,95% EtOH,Olympic Coast National Marine Sanctuary,Teahwhit Head,,34.0,8,47°52.467' N,124°44.070 W,,12:00,12:17,,,1000,,,,,,,,Matt Galaska,,TRUE,100,OCNMS_ExtractionSheet,,Lab -20˚C,TRUE,FALSE,At Sequencing Center (R2)
E1250.OC0922,1250,,,FALSE,OC0922,OCNMS Sept 2022,,9/3/2022,,Port 11,,PPS Unit; Programmed Sampling,95% EtOH,Olympic Coast National Marine Sanctuary,Teahwhit Head,,34.0,8,47°52.467' N,124°44.070 W,,0:00,00:17,,,1000,,,,,,,,Matt Galaska,,TRUE,100,OCNMS_ExtractionSheet,,Lab -20˚C,TRUE,FALSE,At Sequencing Center (R2)
E1251.OC0922,1251,,,FALSE,OC0922,OCNMS Sept 2022,,9/4/2022,,Port 12,,PPS Unit; Programmed Sampling,95% EtOH,Olympic Coast National Marine Sanctuary,Teahwhit Head,,34.0,8,47°52.467' N,124°44.070 W,,12:00,12:17,,,1000,,,,,,,,Matt Galaska,,TRUE,100,OCNMS_ExtractionSheet,,Lab -20˚C,TRUE,FALSE,At Sequencing Center (R2)
E1252.OC0922,1252,,,FALSE,OC0922,OCNMS Sept 2022,,9/6/2022,,Port 13,,PPS Unit; Programmed Sampling,95% EtOH,Olympic Coast National Marine Sanctuary,Teahwhit Head,,34.0,8,47°52.467' N,124°44.070 W,,0:00,00:17,,,1000,,,,,,,,Matt Galaska,,TRUE,100,OCNMS_ExtractionSheet,,Lab -20˚C,TRUE,FALSE,At Sequencing Center (R2)
E1253.OC0922,1253,,,FALSE,OC0922,OCNMS Sept 2022,,9/7/2022,,Port 14,,PPS Unit; Programmed Sampling,95% EtOH,Olympic Coast National Marine Sanctuary,Teahwhit Head,,34.0,8,47°52.467' N,124°44.070 W,,12:00,12:17,,,1000,,,,,,,,Matt Galaska,,TRUE,100,OCNMS_ExtractionSheet,,Lab -20˚C,TRUE,FALSE,At Sequencing Center (R2)
E1254.OC0922,1254,,,FALSE,OC0922,OCNMS Sept 2022,,9/9/2022,,Port 15,,PPS Unit; Programmed Sampling,95% EtOH,Olympic Coast National Marine Sanctuary,Teahwhit Head,,34.0,8,47°52.467' N,124°44.070 W,,0:00,00:17,,,1000,,,,,,,,Matt Galaska,,TRUE,100,OCNMS_ExtractionSheet,,Lab -20˚C,TRUE,FALSE,At Sequencing Center (R2)
E1255.OC0922,1255,,,FALSE,OC0922,OCNMS Sept 2022,,9/10/2022,,Port 16,,PPS Unit; Programmed Sampling,95% EtOH,Olympic Coast National Marine Sanctuary,Teahwhit Head,,34.0,8,47°52.467' N,124°44.070 W,,12:00,12:17,,,1000,,,,,,,,Matt Galaska,,TRUE,100,OCNMS_ExtractionSheet,,Lab -20˚C,TRUE,FALSE,At Sequencing Center (R2)
E1256.OC0922,1256,,,FALSE,OC0922,OCNMS Sept 2022,,9/12/2022,,Port 17,,PPS Unit; Programmed Sampling,95% EtOH,Olympic Coast National Marine Sanctuary,Teahwhit Head,,34.0,8,47°52.467' N,124°44.070 W,,0:00,00:17,,,1000,,,,,,,,Matt Galaska,,TRUE,100,OCNMS_ExtractionSheet,,Lab -20˚C,TRUE,FALSE,At Sequencing Center (R2)
E1257.OC0922,1257,,,FALSE,OC0922,OCNMS Sept 2022,,9/13/2022,,Port 18,,PPS Unit; Programmed Sampling,95% EtOH,Olympic Coast National Marine Sanctuary,Teahwhit Head,,34.0,8,47°52.467' N,124°44.070 W,,12:00,12:17,,,1000,,,,,,,,Matt Galaska,,TRUE,100,OCNMS_ExtractionSheet,,Lab -20˚C,TRUE,FALSE,At Sequencing Center (R2)
E1258.OC0922,1258,,,FALSE,OC0922,OCNMS Sept 2022,,9/15/2022,,Port 19,,PPS Unit; Programmed Sampling,95% EtOH,Olympic Coast National Marine Sanctuary,Teahwhit Head,,34.0,8,47°52.467' N,124°44.070 W,,0:00,00:17,,,1000,,,,,,,,Matt Galaska,,TRUE,100,OCNMS_ExtractionSheet,,Lab -20˚C,TRUE,FALSE,At Sequencing Center (R2)
E1259.OC0922,1259,,,FALSE,OC0922,OCNMS Sept 2022,,9/16/2022,,Port 20,,PPS Unit; Programmed Sampling,95% EtOH,Olympic Coast National Marine Sanctuary,Teahwhit Head,,34.0,8,47°52.467' N,124°44.070 W,,12:00,12:17,,,1000,,,,,,,,Matt Galaska,,TRUE,100,OCNMS_ExtractionSheet,,Lab -20˚C,TRUE,FALSE,At Sequencing Center (R2)
E1260.OC0922,1260,,,FALSE,OC0922,OCNMS Sept 2022,,9/17/2022,,Port 21,,PPS Unit; Programmed Sampling,95% EtOH,Olympic Coast National Marine Sanctuary,Teahwhit Head,,34.0,8,47°52.467' N,124°44.070 W,,0:00,00:17,,,1000,,,,,,,,Matt Galaska,,TRUE,100,OCNMS_ExtractionSheet,,Lab -20˚C,TRUE,FALSE,At Sequencing Center (R2)
E1261.OC0922,1261,,,FALSE,OC0922,OCNMS Sept 2022,,9/17/2022,,Port 22,,PPS Unit; Programmed Sampling,95% EtOH,Olympic Coast National Marine Sanctuary,Teahwhit Head,,34.0,8,47°52.467' N,124°44.070 W,,12:00,12:17,,,1000,,,,,,,,Matt Galaska,,TRUE,100,OCNMS_ExtractionSheet,,Lab -20˚C,TRUE,FALSE,At Sequencing Center (R2)
E1262.OC0922,1262,,,FALSE,OC0922,OCNMS Sept 2022,,9/18/2022,,Port 23,,PPS Unit; Programmed Sampling,95% EtOH,Olympic Coast National Marine Sanctuary,Teahwhit Head,,34.0,8,47°52.467' N,124°44.070 W,,0:00,00:17,,,1000,,,,,,,,Matt Galaska,,TRUE,100,OCNMS_ExtractionSheet,,Lab -20˚C,TRUE,FALSE,At Sequencing Center (R2)
E1263.OC0922,1263,,,FALSE,OC0922,OCNMS Sept 2022,,9/18/2022,,Port 24,,PPS Unit; Programmed Sampling,95% EtOH,Olympic Coast National Marine Sanctuary,Teahwhit Head,,34.0,8,47°52.467' N,124°44.070 W,,12:00,12:17,,,1000,,,,,,,,Matt Galaska,,TRUE,100,OCNMS_ExtractionSheet,,Lab -20˚C,TRUE,FALSE,At Sequencing Center (R2)
E1264.OC0922,1264,,,FALSE,OC0922,OCNMS Sept 2022,,09/20/22,,TH042,12,Niskin; Sterivex 0.22µm filter,95% EtOH,Olympic Coast National Marine Sanctuary,Teahwhit Head,,33.5,,47°52.467' N,124°44.070 W,,11:00,,,,1000,7.9,,33.5,1.62 mg/L,,,,Matt Galaska,,FALSE,,,,Lab -20˚C,FALSE,FALSE,
E1265.OC0922,1265,,,FALSE,OC0922,OCNMS Sept 2022,,09/20/22,,TH042,10,Niskin; Sterivex 0.22µm filter,95% EtOH,Olympic Coast National Marine Sanctuary,Teahwhit Head,,33.2,,47°52.467' N,124°44.070 W,,11:00,,,,1000,7.9,,33.4,1.69 mg/L,,,,Matt Galaska,,TRUE,100,OCNMS_ExtractionSheet,,Lab -20˚C,TRUE,FALSE,At Sequencing Center (R2)
E1266.OC0922,1266,,,FALSE,OC0922,OCNMS Sept 2022,,09/20/22,,TH042,9,Niskin; Sterivex 0.22µm filter,95% EtOH,Olympic Coast National Marine Sanctuary,Teahwhit Head,,32.7,,47°52.467' N,124°44.070 W,,11:00,,,,1000,7.9,,33.4,1.58 mg/L,,,,Matt Galaska,,TRUE,100,OCNMS_ExtractionSheet,,Lab -20˚C,TRUE,FALSE,At Sequencing Center (R2)
E1267.OC0922,1267,,,FALSE,OC0922,OCNMS Sept 2022,,09/20/22,,TH042,8,Niskin; Sterivex 0.22µm filter,95% EtOH,Olympic Coast National Marine Sanctuary,Teahwhit Head,,33.1,,47°52.467' N,124°44.070 W,,11:00,,,,1000,7.9,,33.4,1.68 mg/L,,,,Matt Galaska,,TRUE,100,OCNMS_ExtractionSheet,,Lab -20˚C,TRUE,FALSE,At Sequencing Center (R2)
E1268.OC0922,1268,,,FALSE,OC0922,OCNMS Sept 2022,,09/20/22,,TH042,6,Niskin; Sterivex 0.22µm filter,95% EtOH,Olympic Coast National Marine Sanctuary,Teahwhit Head,,33.2,,47°52.467' N,124°44.070 W,,11:00,,,,1000,7.9,,33.5,1.62 mg/L,,,,Matt Galaska,,FALSE,,,,Lab -20˚C,FALSE,FALSE,
E1269.OC0922,1269,,,FALSE,OC0922,OCNMS Sept 2022,,09/20/22,,TH042,5,Niskin; Sterivex 0.22µm filter,95% EtOH,Olympic Coast National Marine Sanctuary,Teahwhit Head,,33.2,,47°52.467' N,124°44.070 W,,11:00,,,,1000,7.9,,33.5,1.65 mg/L,,,,Matt Galaska,,FALSE,,,,Lab -20˚C,FALSE,FALSE,
E1270.OC0922,1270,,,FALSE,OC0922,OCNMS Sept 2022,,09/20/22,,TH042,4,Niskin; Sterivex 0.22µm filter,95% EtOH,Olympic Coast National Marine Sanctuary,Teahwhit Head,,33.3,,47°52.467' N,124°44.070 W,,11:00,,,,1000,7.9,,33.5,1.68 mg/L,,,,Matt Galaska,,FALSE,,,,Lab -20˚C,FALSE,FALSE,
E1271.OC0922,1271,,,FALSE,OC0922,OCNMS Sept 2022,,09/20/22,,TH042,3,Niskin; Sterivex 0.22µm filter,95% EtOH,Olympic Coast National Marine Sanctuary,Teahwhit Head,,33.4,,47°52.467' N,124°44.070 W,,11:00,,,,1000,8.0,,33.4,1.7 mg/L,,,,Matt Galaska,,FALSE,,,,Lab -20˚C,FALSE,FALSE,
E1272.OC0922,1272,,,FALSE,OC0922,OCNMS Sept 2022,,09/20/22,,TH042,2,Niskin; Sterivex 0.22µm filter,95% EtOH,Olympic Coast National Marine Sanctuary,Teahwhit Head,,33.5,,47°52.467' N,124°44.070 W,,11:00,,,,1000,7.9,,33.5,1.58 mg/L,,,,Matt Galaska,,FALSE,,,,Lab -20˚C,FALSE,FALSE,
E1273.OC0922,1273,,,FALSE,OC0922,OCNMS Sept 2022,,09/20/22,,TH042,11,Niskin; Sterivex 0.22µm filter,95% EtOH,Olympic Coast National Marine Sanctuary,Teahwhit Head,,33.1,,47°52.467' N,124°44.070 W,,11:00,,,,1000,7.9,,33.5,1.7 mg/L,,,,Matt Galaska,,FALSE,,,,Lab -20˚C,FALSE,FALSE,
E1274.NC.OC0922,1274,,,TRUE,OC0922,OCNMS Sept 2022,,09/20/22,,TH042,,Niskin; Sterivex 0.22µm filter,95% EtOH,Olympic Coast National Marine Sanctuary,Teahwhit Head,,,,47°52.467' N,124°44.070 W,,11:00,,,,1000,,,,,,,,Matt Galaska,,FALSE,,,,Lab -20˚C,FALSE,FALSE,
E1275.OC1021,1275,,,FALSE,OC1021,OCNMS Oct 2021,,08/26/21,PPS Port 1 - TH042,,,PPS Unit; Programmed Sampling,95% EtOH,Olympic Coast National Marine Sanctuary,Teahwhit Head,,34.0,8,47° 52.673' N,124° 44.340' W,,00:01,00:17,7:01,07:17,1000,,,,,,,,Sean McAllister and Emily Norton,,TRUE,100,OCNMS_ExtractionSheet,,Lab -20˚C,TRUE,FALSE,At Sequencing Center (R2)
E1276.OC1021,1276,,,FALSE,OC1021,OCNMS Oct 2021,,08/27/21,PPS Port 2 - TH042,,,PPS Unit; Programmed Sampling,95% EtOH,Olympic Coast National Marine Sanctuary,Teahwhit Head,,34.0,8,47° 52.673' N,124° 44.340' W,,12:01,12:24,19:01,19:24,1000,,,,,,,,Sean McAllister and Emily Norton,,TRUE,100,OCNMS_ExtractionSheet,,Lab -20˚C,TRUE,FALSE,At Sequencing Center (R2)
E1277.OC1021,1277,,,FALSE,OC1021,OCNMS Oct 2021,,08/29/21,PPS Port 3 - TH042,,,PPS Unit; Programmed Sampling,95% EtOH,Olympic Coast National Marine Sanctuary,Teahwhit Head,,34.0,8,47° 52.673' N,124° 44.340' W,,00:01,00:27,7:01,07:27,1000,,,,,,,,Sean McAllister and Emily Norton,,TRUE,100,OCNMS_ExtractionSheet,,Lab -20˚C,TRUE,FALSE,At Sequencing Center (R2)
E1278.OC1021,1278,,,FALSE,OC1021,OCNMS Oct 2021,,08/30/21,PPS Port 4 - TH042,,,PPS Unit; Programmed Sampling,95% EtOH,Olympic Coast National Marine Sanctuary,Teahwhit Head,,34.0,8,47° 52.673' N,124° 44.340' W,,12:01,12:25,19:01,19:25,1000,,,,,,,,Sean McAllister and Emily Norton,,TRUE,100,OCNMS_ExtractionSheet,,Lab -20˚C,TRUE,FALSE,At Sequencing Center (R2)
E1279.OC1021,1279,,,FALSE,OC1021,OCNMS Oct 2021,,09/01/21,PPS Port 5 - TH042,,,PPS Unit; Programmed Sampling,95% EtOH,Olympic Coast National Marine Sanctuary,Teahwhit Head,,34.0,8,47° 52.673' N,124° 44.340' W,,00:01,00:22,7:01,07:22,1000,,,,,,,,Sean McAllister and Emily Norton,,TRUE,100,OCNMS_ExtractionSheet,,Lab -20˚C,TRUE,FALSE,At Sequencing Center (R2)
E1280.OC1021,1280,,,FALSE,OC1021,OCNMS Oct 2021,,09/02/21,PPS Port 6 - TH042,,,PPS Unit; Programmed Sampling,95% EtOH,Olympic Coast National Marine Sanctuary,Teahwhit Head,,34.0,8,47° 52.673' N,124° 44.340' W,,12:02,12:29,19:02,19:29,1000,,,,,,,,Sean McAllister and Emily Norton,,TRUE,100,OCNMS_ExtractionSheet,,Lab -20˚C,TRUE,FALSE,At Sequencing Center (R2)
E1281.OC1021,1281,,,FALSE,OC1021,OCNMS Oct 2021,,09/04/21,PPS Port 7 - TH042,,,PPS Unit; Programmed Sampling,95% EtOH,Olympic Coast National Marine Sanctuary,Teahwhit Head,,34.0,8,47° 52.673' N,124° 44.340' W,,00:02,00:27,7:02,07:27,1000,,,,,,,,Sean McAllister and Emily Norton,,TRUE,100,OCNMS_ExtractionSheet,,Lab -20˚C,TRUE,FALSE,At Sequencing Center (R2)
E1282.OC1021,1282,,,FALSE,OC1021,OCNMS Oct 2021,,09/05/21,PPS Port 8 - TH042,,,PPS Unit; Programmed Sampling,95% EtOH,Olympic Coast National Marine Sanctuary,Teahwhit Head,,34.0,8,47° 52.673' N,124° 44.340' W,,12:01,12:27,19:01,19:27,1000,,,,,,,,Sean McAllister and Emily Norton,,TRUE,100,OCNMS_ExtractionSheet,,Lab -20˚C,TRUE,FALSE,At Sequencing Center (R2)
E1283.OC1021,1283,,,FALSE,OC1021,OCNMS Oct 2021,,09/07/21,PPS Port 9 - TH042,,,PPS Unit; Programmed Sampling,95% EtOH,Olympic Coast National Marine Sanctuary,Teahwhit Head,,34.0,8,47° 52.673' N,124° 44.340' W,,00:02,00:24,7:02,07:24,1000,,,,,,,,Sean McAllister and Emily Norton,,TRUE,100,OCNMS_ExtractionSheet,,Lab -20˚C,TRUE,FALSE,At Sequencing Center (R2)
E1284.OC1021,1284,,,FALSE,OC1021,OCNMS Oct 2021,,09/08/21,PPS Port 10 - TH042,,,PPS Unit; Programmed Sampling,95% EtOH,Olympic Coast National Marine Sanctuary,Teahwhit Head,,34.0,8,47° 52.673' N,124° 44.340' W,,12:02,12:23,19:02,19:23,1000,,,,,,,,Sean McAllister and Emily Norton,,TRUE,100,OCNMS_ExtractionSheet,,Lab -20˚C,TRUE,FALSE,At Sequencing Center (R2)
E1285.OC1021,1285,,,FALSE,OC1021,OCNMS Oct 2021,,09/10/21,PPS Port 11 - TH042,,,PPS Unit; Programmed Sampling,95% EtOH,Olympic Coast National Marine Sanctuary,Teahwhit Head,,34.0,8,47° 52.673' N,124° 44.340' W,,00:02,00:29,7:02,07:29,1000,,,,,,,,Sean McAllister and Emily Norton,,TRUE,100,OCNMS_ExtractionSheet,,Lab -20˚C,TRUE,FALSE,At Sequencing Center (R2)
E1286.OC1021,1286,,,FALSE,OC1021,OCNMS Oct 2021,,09/11/21,PPS Port 12 - TH042,,,PPS Unit; Programmed Sampling,95% EtOH,Olympic Coast National Marine Sanctuary,Teahwhit Head,,34.0,8,47° 52.673' N,124° 44.340' W,,12:02,12:31,19:02,19:31,1000,,,,,,,,Sean McAllister and Emily Norton,,TRUE,100,OCNMS_ExtractionSheet,,Lab -20˚C,TRUE,FALSE,At Sequencing Center (R2)
E1287.OC1021,1287,,,FALSE,OC1021,OCNMS Oct 2021,,09/13/21,PPS Port 13 - TH042,,,PPS Unit; Programmed Sampling,95% EtOH,Olympic Coast National Marine Sanctuary,Teahwhit Head,,34.0,8,47° 52.673' N,124° 44.340' W,,00:02,00:24,7:02,07:24,1000,,,,,,,,Sean McAllister and Emily Norton,,TRUE,100,OCNMS_ExtractionSheet,,Lab -20˚C,TRUE,FALSE,At Sequencing Center (R2)
E1288.OC1021,1288,,,FALSE,OC1021,OCNMS Oct 2021,,09/14/21,PPS Port 14 - TH042,,,PPS Unit; Programmed Sampling,95% EtOH,Olympic Coast National Marine Sanctuary,Teahwhit Head,,34.0,8,47° 52.673' N,124° 44.340' W,,12:02,12:30,19:02,19:30,1000,,,,,,,,Sean McAllister and Emily Norton,,TRUE,100,OCNMS_ExtractionSheet,,Lab -20˚C,TRUE,FALSE,At Sequencing Center (R2)
E1289.OC1021,1289,,,FALSE,OC1021,OCNMS Oct 2021,,09/16/21,PPS Port 15 - TH042,,,PPS Unit; Programmed Sampling,95% EtOH,Olympic Coast National Marine Sanctuary,Teahwhit Head,,34.0,8,47° 52.673' N,124° 44.340' W,,00:02,00:25,7:02,07:25,1000,,,,,,,,Sean McAllister and Emily Norton,,TRUE,100,OCNMS_ExtractionSheet,,Lab -20˚C,TRUE,FALSE,At Sequencing Center (R2)
E1290.OC1021,1290,,,FALSE,OC1021,OCNMS Oct 2021,,09/17/21,PPS Port 16 - TH042,,,PPS Unit; Programmed Sampling,95% EtOH,Olympic Coast National Marine Sanctuary,Teahwhit Head,,34.0,8,47° 52.673' N,124° 44.340' W,,12:02,12:28,19:02,19:28,1000,,,,,,,,Sean McAllister and Emily Norton,,TRUE,100,OCNMS_ExtractionSheet,,Lab -20˚C,TRUE,FALSE,At Sequencing Center (R2)
E1291.OC1021,1291,,,FALSE,OC1021,OCNMS Oct 2021,,09/19/21,PPS Port 17 - TH042,,,PPS Unit; Programmed Sampling,95% EtOH,Olympic Coast National Marine Sanctuary,Teahwhit Head,,34.0,8,47° 52.673' N,124° 44.340' W,,00:02,00:29,7:02,07:29,1000,,,,,,,,Sean McAllister and Emily Norton,,TRUE,100,OCNMS_ExtractionSheet,,Lab -20˚C,TRUE,FALSE,At Sequencing Center (R2)
E1292.OC1021,1292,,,FALSE,OC1021,OCNMS Oct 2021,,09/20/21,PPS Port 18 - TH042,,,PPS Unit; Programmed Sampling,95% EtOH,Olympic Coast National Marine Sanctuary,Teahwhit Head,,34.0,8,47° 52.673' N,124° 44.340' W,,12:01,12:26,19:01,19:26,1000,,,,,,,,Sean McAllister and Emily Norton,,TRUE,100,OCNMS_ExtractionSheet,,Lab -20˚C,TRUE,FALSE,At Sequencing Center (R2)
E1293.OC1021,1293,,,FALSE,OC1021,OCNMS Oct 2021,,09/22/21,PPS Port 19 - TH042,,,PPS Unit; Programmed Sampling,95% EtOH,Olympic Coast National Marine Sanctuary,Teahwhit Head,,34.0,8,47° 52.673' N,124° 44.340' W,,00:01,00:20,7:01,07:20,1000,,,,,,,,Sean McAllister and Emily Norton,,TRUE,100,OCNMS_ExtractionSheet,,Lab -20˚C,TRUE,FALSE,At Sequencing Center (R2)
E1294.OC1021,1294,,,FALSE,OC1021,OCNMS Oct 2021,,09/23/21,PPS Port 20 - TH042,,,PPS Unit; Programmed Sampling,95% EtOH,Olympic Coast National Marine Sanctuary,Teahwhit Head,,34.0,8,47° 52.673' N,124° 44.340' W,,12:01,12:23,19:01,19:23,1000,,,,,,,,Sean McAllister and Emily Norton,,TRUE,100,OCNMS_ExtractionSheet,,Lab -20˚C,TRUE,FALSE,At Sequencing Center (R2)
E1295.OC1021,1295,,,FALSE,OC1021,OCNMS Oct 2021,,09/25/21,PPS Port 21 - TH042,,,PPS Unit; Programmed Sampling,95% EtOH,Olympic Coast National Marine Sanctuary,Teahwhit Head,,34.0,8,47° 52.673' N,124° 44.340' W,,00:01,00:24,7:01,07:24,1000,,,,,,,,Sean McAllister and Emily Norton,,TRUE,100,OCNMS_ExtractionSheet,,Lab -20˚C,TRUE,FALSE,At Sequencing Center (R2)
E1296.OC1021,1296,,,FALSE,OC1021,OCNMS Oct 2021,,09/26/21,PPS Port 22 - TH042,,,PPS Unit; Programmed Sampling,95% EtOH,Olympic Coast National Marine Sanctuary,Teahwhit Head,,34.0,8,47° 52.673' N,124° 44.340' W,,12:01,12:21,19:01,19:21,1000,,,,,,,,Sean McAllister and Emily Norton,,TRUE,100,OCNMS_ExtractionSheet,,Lab -20˚C,TRUE,FALSE,At Sequencing Center (R2)
E1297.OC1021,1297,,,FALSE,OC1021,OCNMS Oct 2021,,09/28/21,PPS Port 23 - TH042,,,PPS Unit; Programmed Sampling,95% EtOH,Olympic Coast National Marine Sanctuary,Teahwhit Head,,34.0,8,47° 52.673' N,124° 44.340' W,,00:01,00:28,7:01,07:28,1000,,,,,,,,Sean McAllister and Emily Norton,,TRUE,100,OCNMS_ExtractionSheet,,Lab -20˚C,TRUE,FALSE,At Sequencing Center (R2)
E1298.OC1021,1298,,,FALSE,OC1021,OCNMS Oct 2021,,09/29/21,PPS Port 24 - TH042,,,PPS Unit; Programmed Sampling,95% EtOH,Olympic Coast National Marine Sanctuary,Teahwhit Head,,34.0,8,47° 52.673' N,124° 44.340' W,,12:01,12:26,19:01,19:26,1000,,,,,,,,Sean McAllister and Emily Norton,,TRUE,100,OCNMS_ExtractionSheet,,Lab -20˚C,TRUE,FALSE,At Sequencing Center (R2)
E1299.OC1021,1299,,,FALSE,OC1021,OCNMS Oct 2021,,08/26/21,PPS Port 1 - CE042,,,PPS Unit; Programmed Sampling,-,Olympic Coast National Marine Sanctuary,Cape Elizabeth,,34.0,8,47° 21.009' N,124° 29.126' W,,00:01,00:15,7:01,07:15,1000,,,,,,,,Shannon Brown,Likely not preserved in fixative,TRUE,100,OCNMS_ExtractionSheet,,Lab -20˚C,TRUE,FALSE,At Sequencing Center (R2)
E1300.OC1021,1300,,,FALSE,OC1021,OCNMS Oct 2021,,08/27/21,PPS Port 2 - CE042,,,PPS Unit; Programmed Sampling,-,Olympic Coast National Marine Sanctuary,Cape Elizabeth,,34.0,8,47° 21.009' N,124° 29.126' W,,12:01,12:16,19:01,19:16,1000,,,,,,,,Shannon Brown,Likely not preserved in fixative,TRUE,100,OCNMS_ExtractionSheet,,Lab -20˚C,TRUE,FALSE,At Sequencing Center (R2)
E1301.OC1021,1301,,,FALSE,OC1021,OCNMS Oct 2021,,08/29/21,PPS Port 3 - CE042,,,PPS Unit; Programmed Sampling,-,Olympic Coast National Marine Sanctuary,Cape Elizabeth,,34.0,8,47° 21.009' N,124° 29.126' W,,00:01,00:16,7:01,07:16,1000,,,,,,,,Shannon Brown,Likely not preserved in fixative,TRUE,100,OCNMS_ExtractionSheet,,Lab -20˚C,TRUE,FALSE,At Sequencing Center (R2)
E1302.OC1021,1302,,,FALSE,OC1021,OCNMS Oct 2021,,08/30/21,PPS Port 4 - CE042,,,PPS Unit; Programmed Sampling,-,Olympic Coast National Marine Sanctuary,Cape Elizabeth,,34.0,8,47° 21.009' N,124° 29.126' W,,12:01,12:16,19:01,19:16,1000,,,,,,,,Shannon Brown,Likely not preserved in fixative,TRUE,100,OCNMS_ExtractionSheet,,Lab -20˚C,TRUE,FALSE,At Sequencing Center (R2)
E1303.OC1021,1303,,,FALSE,OC1021,OCNMS Oct 2021,,09/01/21,PPS Port 5 - CE042,,,PPS Unit; Programmed Sampling,-,Olympic Coast National Marine Sanctuary,Cape Elizabeth,,34.0,8,47° 21.009' N,124° 29.126' W,,00:01,00:16,7:01,07:16,1000,,,,,,,,Shannon Brown,Likely not preserved in fixative,TRUE,100,OCNMS_ExtractionSheet,,Lab -20˚C,TRUE,FALSE,At Sequencing Center (R2)
E1304.OC1021,1304,,,FALSE,OC1021,OCNMS Oct 2021,,09/02/21,PPS Port 6 - CE042,,,PPS Unit; Programmed Sampling,-,Olympic Coast National Marine Sanctuary,Cape Elizabeth,,34.0,8,47° 21.009' N,124° 29.126' W,,12:01,12:16,19:01,19:16,1000,,,,,,,,Shannon Brown,Likely not preserved in fixative,TRUE,100,OCNMS_ExtractionSheet,,Lab -20˚C,TRUE,FALSE,At Sequencing Center (R2)
E1305.OC1021,1305,,,FALSE,OC1021,OCNMS Oct 2021,,09/04/21,PPS Port 7 - CE042,,,PPS Unit; Programmed Sampling,-,Olympic Coast National Marine Sanctuary,Cape Elizabeth,,34.0,8,47° 21.009' N,124° 29.126' W,,00:02,00:17,7:02,07:17,1000,,,,,,,,Shannon Brown,Likely not preserved in fixative,TRUE,100,OCNMS_ExtractionSheet,,Lab -20˚C,TRUE,FALSE,At Sequencing Center (R2)
E1306.OC1021,1306,,,FALSE,OC1021,OCNMS Oct 2021,,09/05/21,PPS Port 8 - CE042,,,PPS Unit; Programmed Sampling,-,Olympic Coast National Marine Sanctuary,Cape Elizabeth,,34.0,8,47° 21.009' N,124° 29.126' W,,12:02,12:16,19:02,19:16,1000,,,,,,,,Shannon Brown,Likely not preserved in fixative,TRUE,100,OCNMS_ExtractionSheet,,Lab -20˚C,TRUE,FALSE,At Sequencing Center (R2)
E1307.OC1021,1307,,,FALSE,OC1021,OCNMS Oct 2021,,09/07/21,PPS Port 9 - CE042,,,PPS Unit; Programmed Sampling,-,Olympic Coast National Marine Sanctuary,Cape Elizabeth,,34.0,8,47° 21.009' N,124° 29.126' W,,00:02,00:16,7:02,07:16,1000,,,,,,,,Shannon Brown,Likely not preserved in fixative,TRUE,100,OCNMS_ExtractionSheet,,Lab -20˚C,TRUE,FALSE,At Sequencing Center (R2)
